OBJECTID,VALUE,long,lat,X,Y
10324,25000,-122.3382375,47.70634706,-122.3382375,47.70634706
10325,480153,-122.3115997,47.70271565,-122.3115997,47.70271565
10326,2500,-122.3111823,47.69745441,-122.3111823,47.69745441
10327,6061752,-122.3771747,47.6676968,-122.3771747,47.6676968
10328,256551,-122.3102319,47.59601309,-122.3102319,47.59601309
10329,219251,-122.3095692,47.5984803,-122.3095692,47.5984803
10330,0,-122.3095692,47.5984803,-122.3095692,47.5984803
10331,259150,-122.3100778,47.59651146,-122.3100778,47.59651146
10332,233406,-122.3095021,47.59848189,-122.3095021,47.59848189
10333,0,-122.3099962,47.59651252,-122.3099962,47.59651252
10334,259150,-122.3099023,47.59647756,-122.3099023,47.59647756
10335,322858,-122.3117008,47.60319568,-122.3117008,47.60319568
10336,0,-122.3117008,47.60319568,-122.3117008,47.60319568
10337,395477,-122.319815,47.63461002,-122.319815,47.63461002
10338,259150,-122.3097185,47.59649214,-122.3097185,47.59649214
10339,1000000,-122.3801836,47.58825538,-122.3801836,47.58825538
10340,171779,-122.3092059,47.58746588,-122.3092058,47.58746588
10341,750553,-122.3090153,47.58935749,-122.3090153,47.58935749
10342,750553,-122.3090153,47.58935749,-122.3090153,47.58935749
10343,0,-122.2997578,47.58890837,-122.2997578,47.58890837
10344,412961,-122.3111937,47.58936576,-122.3111937,47.58936576
10345,242950,-122.3771143,47.67339657,-122.3771143,47.67339657
10346,177767,-122.3770485,47.67557534,-122.3770485,47.67557534
10347,4187981,-122.3769532,47.64864468,-122.3769532,47.64864468
10348,429866,-122.3152988,47.58937218,-122.3152988,47.58937218
10349,0,-122.3535026,47.62953586,-122.3535026,47.62953586
10350,497619,-122.3535026,47.62953586,-122.3535026,47.62953586
10351,0,-122.3534861,47.62875661,-122.3534861,47.62875661
10352,578823,-122.3534861,47.62875661,-122.3534861,47.62875661
10353,1000,-122.3713767,47.6339156,-122.3713767,47.6339156
10354,25000,-122.3541466,47.63345435,-122.3541466,47.63345435
10355,286313,-122.3379721,47.65581256,-122.3379721,47.65581256
10356,35000,-122.3374465,47.66890365,-122.3374465,47.66890364
10357,512940,-122.3784872,47.69429455,-122.3784872,47.69429455
